dataset,augmentation_type,augmentation_rate,local_homophily_group,positive_failure_score,negative_collision_score,joint_reliability_risk_score
Actor,edge_drop,0.1,low_homophily,0.010210355,0.22336811,0.48926786
Actor,edge_drop,0.1,medium_homophily,0.01303627,0.22877882,0.51943259
Actor,edge_drop,0.1,high_homophily,0.012962061,0.22905934,0.51942894
Actor,edge_drop,0.1,all,0.010896728,0.2249277,0.49705231
Actor,edge_drop,0.2,low_homophily,0.021901158,0.22336811,0.57229561
Actor,edge_drop,0.2,medium_homophily,0.02673869,0.22877882,0.61674679
Actor,edge_drop,0.2,high_homophily,0.025239041,0.22905934,0.6066197
Actor,edge_drop,0.2,all,0.022917726,0.2249277,0.58242509
Actor,edge_drop,0.4,low_homophily,0.047639953,0.22336811,0.75509179
Actor,edge_drop,0.4,medium_homophily,0.056804159,0.22877882,0.83027088
Actor,edge_drop,0.4,high_homophily,0.058643962,0.22905934,0.8438605
Actor,edge_drop,0.4,all,0.049989141,0.2249277,0.7746855
Actor,edge_drop,0.6,low_homophily,0.079955671,0.22336811,0.9845971
Actor,edge_drop,0.6,medium_homophily,0.092756727,0.22877882,1.085605
Actor,edge_drop,0.6,high_homophily,0.093718574,0.22905934,1.0929594
Actor,edge_drop,0.6,all,0.082985222,0.2249277,1.0090227
Actor,edge_drop,0.8,low_homophily,0.12311681,0.22336811,1.2911263
Actor,edge_drop,0.8,medium_homophily,0.13307121,0.22877882,1.3719173
Actor,edge_drop,0.8,high_homophily,0.12918777,0.22905934,1.3448606
Actor,edge_drop,0.8,all,0.12538398,0.2249277,1.3101375
